dt_TERAPIAINTENSIVA,terapia intensiva,deceduti,deceduti/terapia intensiva 35gg
2021-06-22,8,4.0,0.4427710843373494
2021-06-23,8,4.0,0.4423076923076923
2021-06-24,11,3.0,0.43973941368078173
2021-06-25,13,4.0,0.44481605351170567
2021-06-26,8,4.0,0.4359861591695502
2021-06-27,9,4.0,0.44363636363636366
2021-06-28,9,5.0,0.43911439114391143
2021-06-29,3,1.0,0.43283582089552236
2021-06-30,3,2.0,0.4448669201520912
2021-07-01,4,1.0,0.46037735849056605
2021-07-02,4,4.0,0.4548872180451128
2021-07-03,3,3.0,0.44
2021-07-04,1,1.0,0.4331983805668016
2021-07-05,10,5.0,0.42857142857142855
2021-07-06,7,4.0,0.42641509433962266
2021-07-07,7,3.0,0.42700729927007297
2021-07-08,6,2.0,0.4352517985611511
2021-07-09,6,3.0,0.4355400696864111
2021-07-10,1,0.0,0.43661971830985913
2021-07-11,8,4.0,0.42905405405405406
2021-07-12,9,7.0,0.4473684210526316
2021-07-13,7,1.0,0.44761904761904764
2021-07-14,5,1.0,0.440625
2021-07-15,9,2.0,0.43452380952380953
2021-07-16,11,3.0,0.4326647564469914
2021-07-17,8,5.0,0.4305555555555556
2021-07-18,13,6.0,0.42408376963350786
2021-07-19,9,3.0,0.4183168316831683
2021-07-20,8,2.0,0.40617577197149646
2021-07-21,10,4.0,0.4059633027522936
2021-07-22,13,4.0,0.41501103752759383
2021-07-23,18,7.0,0.4194915254237288
2021-07-24,12,6.0,0.4161616161616162
2021-07-25,9,5.0,0.4188679245283019
2021-07-26,17,8.0,0.41952983725135623
2021-07-27,5,3.0,0.42710120068610635
2021-07-28,20,7.0,0.42833607907743
2021-07-29,19,12.0,0.4251592356687898
2021-07-30,24,9.0,0.4266263237518911
2021-07-31,13,4.0,0.4250720461095101
2021-08-01,25,9.0,0.43342391304347827
2021-08-02,22,10.0,0.4381578947368421
2021-08-03,14,5.0,0.4387755102040816
2021-08-04,25,9.0,0.4388133498145859
2021-08-05,26,8.0,0.44004796163069543
2021-08-06,21,6.0,0.4448315911730546
2021-08-07,18,9.0,0.4511784511784512
2021-08-08,18,12.0,0.4608695652173913
2021-08-09,29,15.0,0.46375266524520253
2021-08-10,30,12.0,0.46750524109014674
2021-08-11,42,19.0,0.4704081632653061
2021-08-12,29,12.0,0.47181008902077154
2021-08-13,36,20.0,0.47439613526570046
2021-08-14,25,11.0,0.4732895970009372
2021-08-15,29,11.0,0.47155963302752296
2021-08-16,42,22.0,0.47249774571686204
2021-08-17,40,14.0,0.4743816254416961
2021-08-18,47,25.0,0.47191011235955055
2021-08-19,33,16.0,0.4745470232959448
2021-08-20,35,14.0,0.4727427597955707
2021-08-21,33,16.0,0.4766277128547579
2021-08-22,38,18.0,0.47920133111480867
2021-08-23,36,19.0,0.48635235732009924
2021-08-24,38,21.0,0.4905349794238683
2021-08-25,39,26.0,0.49229521492295214
2021-08-26,31,15.0,0.49036918138041735
2021-08-27,34,18.0,0.49201277955271566
2021-08-28,38,21.0,0.49476228847703463
2021-08-29,40,21.0,0.4931174089068826
2021-08-30,41,22.0,0.4927302100161551
2021-08-31,37,17.0,0.4906731549067315
2021-09-01,43,16.0,0.48951612903225805
2021-09-02,38,22.0,0.4931174089068826
2021-09-03,47,22.0,0.48974569319114025
2021-09-04,38,13.0,0.4921681780708986
