,med,lo_68,hi_68,lo_95,hi_95
2021-06-06,37.27272727272728,17.374545454545455,56.978181818181824,3.1000000000000023,81.97500000000005
2021-06-07,37.8235294117647,17.85090909090909,57.70499999999998,2.4857142857142858,77.89999999999999
2021-06-08,37.16666666666667,18.029230769230768,57.03000000000001,2.575,78.97500000000026
2021-06-09,39.392857142857146,18.829333333333334,57.912000000000035,2.995,83.25625000000001
2021-06-10,39.17857142857143,18.377142857142857,57.62285714285714,3.8875000000000006,78.73499999999999
2021-06-11,36.75000000000001,18.291428571428572,59.86499999999998,3.015,83.92499999999977
2021-06-12,37.99999999999999,18.484,54.91599999999999,2.22,82.6333333333333
2021-06-13,39.66666666666668,18.448,61.19,0.9272727272727275,82.59999999999994
2021-06-14,33.857142857142854,14.553846153846154,57.63333333333333,1.3000000000000003,79.50000000000003
2021-06-15,38.0,18.397142857142857,59.34857142857143,1.9125,84.67500000000003
2021-06-16,38.785714285714285,17.90222222222222,59.61,2.2249999999999996,81.66249999999988
2021-06-17,34.833333333333336,16.76,57.61000000000001,2.800000000000001,80.30000000000003
2021-06-18,39.18749999999999,19.119999999999997,59.77142857142856,6.3125,82.79166666666664
2021-06-19,39.33333333333333,20.114285714285714,55.68333333333333,7.083333333333334,82.7499999999999
2021-06-20,37.916666666666664,17.95,58.04000000000003,1.2916666666666672,79.12500000000021
2021-06-21,36.400000000000006,18.283636363636365,57.14666666666667,3.5500000000000007,78.15000000000003
2021-06-22,35.624999999999986,17.64,59.13333333333332,1.8125000000000002,84.06249999999987
2021-06-23,35.166666666666686,17.89714285714286,56.95333333333334,2.7875000000000005,82.42499999999991
2021-06-24,34.18749999999999,17.925714285714285,55.50181818181818,5.2749999999999995,84.1749999999998
2021-06-25,33.8,17.965,57.21333333333333,6.550000000000001,80.72499999999997
2021-06-26,35.3,16.016000000000002,55.11499999999999,1.165,78.17499999999986
2021-06-27,35.166666666666664,17.683333333333334,58.36,3.0833333333333335,80.75000000000001
2021-06-28,32.50000000000001,17.653333333333336,58.62399999999998,2.6916666666666673,83.73124999999999
2021-06-29,29.791666666666664,18.134,55.663999999999994,3.4125000000000005,79.72499999999997
2021-06-30,30.555555555555557,17.262608695652172,54.29600000000002,2.1500000000000004,77.70000000000022
2021-07-01,29.692307692307686,17.527407407407406,55.95999999999997,6.116666666666667,79.82499999999989
2021-07-02,30.346153846153847,17.7775,54.61777777777778,5.49375,76.51249999999992
2021-07-03,30.444444444444446,17.822400000000002,56.80500000000001,4.7875,79.8499999999999
2021-07-04,29.307692307692307,17.168275862068967,54.843333333333334,2.8900000000000006,73.77500000000002
2021-07-05,27.033333333333328,17.078095238095237,51.95999999999998,5.715,77.47499999999994
2021-07-06,27.041666666666664,17.496410256410257,51.57999999999997,5.900000000000003,79.77499999999996
2021-07-07,26.437500000000004,17.165384615384614,52.42666666666668,2.9000000000000004,74.25000000000003
2021-07-08,27.34375,17.135873015873017,53.468888888888884,2.8964285714285714,75.72500000000028
2021-07-09,24.15,16.722727272727273,49.08571428571429,5.000000000000001,72.7500000000001
2021-07-10,25.0,16.842352941176472,49.815,6.19,74.69999999999996
2021-07-11,24.634615384615387,16.254193548387097,51.249411764705904,4.855000000000001,73.86250000000001
2021-07-12,25.907894736842106,16.655172413793103,50.631578947368425,6.109375000000001,75.37500000000004
2021-07-13,23.78472222222222,16.22022988505747,49.70666666666668,6.522916666666667,75.45416666666664
2021-07-14,23.702898550724637,16.530852713178295,48.30057142857141,6.3931818181818185,69.16874999999972
2021-07-15,24.061403508771928,16.391147540983606,48.78814814814814,7.769444444444445,73.34583333333333
2021-07-16,25.744444444444447,16.6,50.61999999999999,5.296875000000001,72.7708333333332
2021-07-17,25.918604651162788,16.34280701754386,50.54896551724135,4.775,74.20937499999992
2021-07-18,26.6,16.38848,52.14322580645162,5.641176470588236,75.51666666666685
2021-07-19,25.72,16.288169014084506,50.16,4.909375000000001,72.9214285714285
2021-07-20,26.42105263157895,16.496644295302012,51.52631578947368,5.696428571428572,73.825
2021-07-21,25.78070175438597,16.29922480620155,51.05454545454547,5.397727272727273,73.5138888888891
