dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 21gg
2020-07-29,73,3.0,0.046747967479674794
2020-07-30,65,3.0,0.04596935376415723
2020-07-31,84,3.0,0.04950495049504951
2020-08-01,69,8.0,0.05100671140939597
2020-08-02,55,2.0,0.052770448548812667
2020-08-03,100,4.0,0.05283757338551859
2020-08-04,64,5.0,0.05181347150259067
2020-08-05,88,0.0,0.05505181347150259
2020-08-06,67,2.0,0.0574345883854499
2020-08-07,78,2.0,0.058823529411764705
2020-08-08,58,3.0,0.05953827460510328
2020-08-09,63,2.0,0.05957943925233645
2020-08-10,101,11.0,0.0576036866359447
2020-08-11,60,5.0,0.05714285714285714
2020-08-12,101,8.0,0.05493895671476138
2020-08-13,85,6.0,0.05652173913043478
2020-08-14,83,4.0,0.057158119658119656
2020-08-15,64,6.0,0.06125574272588055
2020-08-16,68,7.0,0.06528189910979229
2020-08-17,103,7.0,0.07081749049429657
2020-08-18,117,7.0,0.07547169811320754
2020-08-19,139,7.0,0.0762673844773441
2020-08-20,89,1.0,0.0775635407537248
2020-08-21,98,3.0,0.07579672695951765
2020-08-22,121,7.0,0.0768595041322314
2020-08-23,93,7.0,0.07781324820430965
2020-08-24,132,7.0,0.08058326937835764
2020-08-25,151,18.0,0.08
2020-08-26,151,12.0,0.08040201005025126
2020-08-27,149,19.0,0.08119507908611599
2020-08-28,147,17.0,0.08186738836265223
2020-08-29,114,9.0,0.08460517584605176
2020-08-30,116,9.0,0.08904109589041095
2020-08-31,141,10.0,0.09367167919799499
2020-09-01,158,15.0,0.09702850212249849
2020-09-02,187,17.0,0.09818506396905682
2020-09-03,185,21.0,0.09819872167344568
2020-09-04,177,10.0,0.1008189776899181
2020-09-05,150,14.0,0.09953258179818532
2020-09-06,127,14.0,0.10051061542596076
2020-09-07,214,18.0,0.10083813514929282
2020-09-08,175,20.0,0.10194174757281553
2020-09-09,191,25.0,0.10506519558676028
2020-09-10,215,27.0,0.10594059405940594
2020-09-11,204,24.0,0.10691975012013455
2020-09-12,184,17.0,0.10527549824150059
2020-09-13,174,15.0,0.1065252478671893
2020-09-14,231,26.0,0.10576486609169315
2020-09-15,247,23.0,0.10995344712923964
2020-09-16,235,24.0,0.11154769700938659
2020-09-17,246,30.0,0.11273666092943202
2020-09-18,243,31.0,0.11447954208183167
2020-09-19,188,29.0,0.11559975139838409
2020-09-20,168,18.0,0.11616986525112291
2020-09-21,263,27.0,0.11930801352157487
2020-09-22,261,19.0,0.12304725168756027
2020-09-23,259,30.0,0.1259093452714046
2020-09-24,254,25.0,0.12769816796662434
2020-09-25,282,40.0,0.13080684596577016
2020-09-26,220,29.0,0.1362571141613659
2020-09-27,194,27.0,0.14035369774919615
2020-09-28,283,34.0,0.14101184068891282
2020-09-29,285,38.0,0.14352665495020503
2020-09-30,262,36.0,0.14515235457063713
2020-10-01,346,58.0,0.14948992937483652
2020-10-02,360,62.0,0.15499877180054042
2020-10-03,360,54.0,0.1602483044028049
2020-10-04,326,44.0,0.16208939149165322
2020-10-05,444,71.0,0.16486378205128205
2020-10-06,495,88.0,0.16807195053400786
2020-10-07,481,83.0,0.17012448132780084
2020-10-08,529,74.0,0.17266940617194423
2020-10-09,568,94.0,0.17539812472094063
2020-10-10,580,97.0,0.17784797088511983
2020-10-11,594,113.0,0.18102022643429588
2020-10-12,759,146.0,0.18111912930320595
2020-10-13,818,151.0,0.18156455142231948
2020-10-14,845,141.0,0.18387857655625064
2020-10-15,953,166.0,0.18737700983921285
2020-10-16,972,188.0,0.18920850455601215
2020-10-17,1114,203.0,0.1910390209145396
2020-10-18,1037,202.0,0.19286501811308868
2020-10-19,1310,248.0,0.1956940635885274
2020-10-20,1410,271.0,0.19789671623080404
2020-10-21,1421,292.0,0.19998675803621677
2020-10-22,1530,274.0,0.20159142784681713
2020-10-23,1734,319.0,0.2037923250564334
2020-10-24,1582,321.0,0.20646473908932
2020-10-25,1659,362.0,0.2090752911019607
2020-10-26,1997,403.0,0.2107912168153132
2020-10-27,1966,410.0,0.2118936777293888
2020-10-28,2018,423.0,0.21394481188070838
2020-10-29,2119,457.0,0.2156090891947954
2020-10-30,2299,496.0,0.21765541903539337
2020-10-31,2070,455.0,0.22015417271813206
2020-11-01,1931,431.0,0.22223914036499684
2020-11-02,2440,558.0,0.22492550021285654
2020-11-03,2490,585.0,0.2274448279468675
2020-11-04,2619,603.0,0.2292198698410083
2020-11-05,2628,582.0,0.23098464871936386
2020-11-06,2580,571.0,0.234034803723189
2020-11-07,2437,568.0,0.2365559093913357
2020-11-08,2184,518.0,0.23801560758082496
2020-11-09,2510,596.0,0.23942572726010827
2020-11-10,2541,629.0,0.24083416087388282
2020-11-11,2639,656.0,0.24239642372475453
2020-11-12,2537,624.0,0.2439190953461747
2020-11-13,2559,625.0,0.24484504759975695
2020-11-14,2333,578.0,0.24584860459878377
2020-11-15,2024,532.0,0.24690613365502612
2020-11-16,2496,669.0,0.24877738964750715
2020-11-17,2475,655.0,0.25130270014211276
2020-11-18,2321,568.0,0.2528334977529321
2020-11-19,2316,575.0,0.25436286543182324
2020-11-20,2220,548.0,0.2554548353300232
2020-11-21,1828,475.0,0.2569268349424218
2020-11-22,1610,429.0,0.25793386066901747
2020-11-23,2023,502.0,0.25946512591725784
2020-11-24,1959,504.0,0.2610727854429114
2020-11-25,1859,467.0,0.2621446103497648
2020-11-26,1784,462.0,0.26217540932318284
2020-11-27,1787,491.0,0.261688259435101
2020-11-28,1610,430.0,0.26230960952644694
2020-11-29,1379,383.0,0.26444286728176014
2020-11-30,1606,414.0,0.2654911104634217
2020-12-01,1620,457.0,0.2674897119341564
2020-12-02,1626,438.0,0.26815659398975045
2020-12-03,1584,441.0,0.2684108228180051
2020-12-04,1548,427.0,0.2693398009323422
2020-12-05,1437,386.0,0.2700144857556736
2020-12-06,1268,335.0,0.2712081418253447
2020-12-07,1421,369.0,0.27191431145517037
2020-12-08,1304,371.0,0.2719155292999253
2020-12-09,1436,411.0,0.2710814345701108
2020-12-10,1401,369.0,0.2720025066146776
2020-12-11,1444,409.0,0.27246775216747726
2020-12-12,1271,348.0,0.27163487252629703
2020-12-13,1046,286.0,0.27211597556125955
2020-12-14,1358,353.0,0.2722118585171367
2020-12-15,1276,341.0,0.2720654121863799
2020-12-16,1254,340.0,0.2725866103102121
2020-12-17,1293,350.0,0.27319158595641646
2020-12-18,1272,351.0,0.2733752938500038
2020-12-19,1210,297.0,0.2726689074360814
2020-12-20,1049,320.0,0.2704638472032742
2020-12-21,1256,332.0,0.2711028491217421
2020-12-22,1291,344.0,0.26983274512812644
2020-12-23,1242,347.0,0.2694948878376316
2020-12-24,1262,356.0,0.26966377317008455
2020-12-25,993,272.0,0.26967268878978
2020-12-26,1151,322.0,0.2695541210028524
2020-12-27,1202,333.0,0.2691917483936422
2020-12-28,1363,358.0,0.2692206966216469
2020-12-29,1409,381.0,0.2688651218062983
2020-12-30,1345,328.0,0.27012111559687396
2020-12-31,1372,378.0,0.269057634122943
2021-01-01,1153,297.0,0.26928027656209774
2021-01-02,1415,378.0,0.26933254925022054
2021-01-03,1215,336.0,0.2677798165137615
2021-01-04,1435,374.0,0.26780804340653297
2021-01-05,1462,388.0,0.26648750726321907
2021-01-06,1223,322.0,0.26611558262635054
2021-01-07,1409,382.0,0.2666056389600879
2021-01-08,1471,395.0,0.26710434109098957
2021-01-09,1281,350.0,0.2666816026287293
2021-01-10,1152,319.0,0.26823564909104625
2021-01-11,1345,362.0,0.2679780838596758
2021-01-12,1308,350.0,0.26818095056308455
2021-01-13,1284,316.0,0.26807602792862684
2021-01-14,1289,364.0,0.2673746312684366
2021-01-15,1252,305.0,0.26791462978418984
2021-01-16,1197,324.0,0.2677095153185281
2021-01-17,930,274.0,0.26737222085486917
2021-01-18,1166,319.0,0.2657815631262525
2021-01-19,1077,281.0,0.26467585502807556
2021-01-20,1078,298.0,0.2636493321229412
2021-01-21,1140,309.0,0.2630102152659038
2021-01-22,1066,279.0,0.261064500377325
2021-01-23,1000,264.0,0.2593460048644266
2021-01-24,860,223.0,0.25916624811652433
2021-01-25,1171,317.0,0.2574220740123199
2021-01-26,977,253.0,0.25756509500351865
2021-01-27,925,234.0,0.2553890078515346
2021-01-28,983,230.0,0.25283072953991687
2021-01-29,1027,251.0,0.24925444925444926
2021-01-30,906,227.0,0.24752092100807818
2021-01-31,828,219.0,0.24443042275396787
2021-02-01,1063,244.0,0.24107404871368482
2021-02-02,983,227.0,0.24016929967025935
2021-02-03,983,234.0,0.23823689821012445
2021-02-04,979,246.0,0.23513567438148444
2021-02-05,976,237.0,0.2326483328296565
2021-02-06,897,201.0,0.23111066276606476
2021-02-07,846,199.0,0.23016311166875783
2021-02-08,1025,209.0,0.22831415707853928
2021-02-09,960,216.0,0.22683865806709663
2021-02-10,1008,217.0,0.22532477228609826
2021-02-11,983,202.0,0.22239278993760522
2021-02-12,939,230.0,0.22070417707262133
2021-02-13,850,189.0,0.22060243290210466
2021-02-14,739,132.0,0.21863508285973543
2021-02-15,977,222.0,0.21656983609654717
2021-02-16,949,216.0,0.214899048503133
2021-02-17,1024,238.0,0.21406797397515812
2021-02-18,1048,208.0,0.2127993542021706
2021-02-19,1038,224.0,0.21177454129449552
2021-02-20,996,217.0,0.2096043749465949
2021-02-21,931,183.0,0.21036636136552872
2021-02-22,1290,260.0,0.21053700544317167
2021-02-23,1278,290.0,0.2092180421508765
2021-02-24,1206,242.0,0.20697710040591255
2021-02-25,1211,253.0,0.20771502261428626
2021-02-26,1350,282.0,0.20739346102320866
2021-02-27,1331,276.0,0.2067671809256662
2021-02-28,1165,239.0,0.2058051987871768
2021-03-01,1454,277.0,0.20566502463054187
2021-03-02,1639,309.0,0.20415830040805752
2021-03-03,1622,364.0,0.2040404677109269
2021-03-04,1581,332.0,0.2043372304654965
2021-03-05,1706,358.0,0.20438990562908915
2021-03-06,1579,283.0,0.2042944243173986
2021-03-07,1378,284.0,0.20455725411018172
2021-03-08,1843,393.0,0.20387799070189364
2021-03-09,1850,385.0,0.20354699064376483
2021-03-10,1857,382.0,0.20301994930012124
2021-03-11,1739,346.0,0.20289342724281403
2021-03-12,1872,349.0,0.20361419902260888
2021-03-13,1847,387.0,0.20491803278688525
2021-03-14,1619,333.0,0.20410820578231292
2021-03-15,2040,415.0,0.2035405234276066
2021-03-16,2062,447.0,0.20284529371620558
2021-03-17,1925,398.0,0.2048880050240737
2021-03-18,1817,353.0,0.20468096234309624
2021-03-19,1879,378.0,0.20446524273875194
2021-03-20,1818,356.0,0.2043816661862208
2021-03-21,1646,332.0,0.20469728052180317
2021-03-22,1923,399.0,0.20462558543387885
2021-03-23,1851,401.0,0.2052957449611382
2021-03-24,1800,370.0,0.20415738678544915
2021-03-25,1853,366.0,0.20347640058831395
2021-03-26,1900,371.0,0.20305480682839172
2021-03-27,1697,385.0,0.20126271677097404
2021-03-28,1402,281.0,0.20021218974230115
2021-03-29,1854,387.0,0.19996042067171774
2021-03-30,1758,363.0,0.19987960786561945
2021-03-31,1720,366.0,0.1994815634647871
2021-04-01,1723,340.0,0.19875151622733056
2021-04-02,1821,364.0,0.19728137743543273
2021-04-03,1608,295.0,0.1951661445857134
2021-04-04,1298,242.0,0.19442181134440614
2021-04-05,1374,264.0,0.19336839404822986
2021-04-06,1604,289.0,0.19275281084110918
2021-04-07,1471,269.0,0.1904649436534179
2021-04-08,1372,255.0,0.1898703874696488
2021-04-09,1393,278.0,0.18790367874192643
2021-04-10,1266,232.0,0.18651677322031462
2021-04-11,1113,201.0,0.18475504428681686
2021-04-12,1227,212.0,0.18349386213408878
2021-04-13,1308,225.0,0.18120962092317272
2021-04-14,1148,219.0,0.18007111750369573
2021-04-15,1127,192.0,0.17913121361397225
2021-04-16,1045,187.0,0.17754806698366757
2021-04-17,1006,184.0,0.17597515844995534
2021-04-18,1005,188.0,0.1741209197200852
2021-04-19,1101,188.0,0.17221900991860517
2021-04-20,1112,203.0,0.17010919017288445
2021-04-21,1087,200.0,0.1675988068605518
2021-04-22,989,171.0,0.16656352644356642
2021-04-23,1040,162.0,0.16544705597286163
2021-04-24,943,146.0,0.1644345238095238
2021-04-25,832,135.0,0.16227159993926205
2021-04-26,996,158.0,0.1612368570984617
2021-04-27,928,132.0,0.15922894111433852
2021-04-28,969,138.0,0.15647249190938511
2021-04-29,848,121.0,0.1535938629162266
2021-04-30,890,145.0,0.15179843812346805
2021-05-01,742,89.0,0.14924845269672857
2021-05-02,664,104.0,0.1463963963963964
2021-05-03,855,127.0,0.14403704167188086
2021-05-04,833,126.0,0.14308848296411453
2021-05-05,745,110.0,0.1411614806866953
2021-05-06,677,99.0,0.13918703690880133
2021-05-07,673,89.0,0.1372619475386274
2021-05-08,611,70.0,0.1368735976065819
2021-05-09,454,50.0,0.1364276768941766
2021-05-10,655,88.0,0.134493413563181
2021-05-11,534,72.0,0.13211243611584328
2021-05-12,550,73.0,0.1325760937084036
2021-05-13,543,68.0,0.13080673351117653
2021-05-14,496,69.0,0.1284039151080531
2021-05-15,417,42.0,0.1260909744326933
2021-05-16,361,40.0,0.12276545337066552
2021-05-17,470,58.0,0.11989131665345862
2021-05-18,383,52.0,0.11897983392645314
2021-05-19,375,51.0,0.11884021901443505
2021-05-20,370,32.0,0.11888201957753736
2021-05-21,332,42.0,0.11763100436681223
2021-05-22,271,32.0,0.11614650135385493
2021-05-23,266,32.0,0.11579581388345128
2021-05-24,303,30.0,0.11362189688096754
2021-05-25,253,29.0,0.11070295541826682
2021-05-26,292,22.0,0.1112858141160028
2021-05-27,224,18.0,0.11095022624434389
2021-05-28,270,33.0,0.10875787063537493
2021-05-29,217,22.0,0.10606965174129353
2021-05-30,182,18.0,0.10314648885184413
2021-05-31,219,27.0,0.10388754667252362
2021-06-01,223,25.0,0.10071280754196367
2021-06-02,174,27.0,0.09869203329369798
2021-06-03,186,13.0,0.09530864197530864
2021-06-04,201,18.0,0.09465767634854771
2021-06-05,152,16.0,0.09281115879828326
2021-06-06,162,16.0,0.09396162528216705
2021-06-07,186,15.0,0.09413489736070381
2021-06-08,167,15.0,0.09062789978348283
2021-06-09,149,13.0,0.08908325234855848
2021-06-10,124,10.0,0.08849259757738896
2021-06-11,128,7.0,0.08406923348640057
2021-06-12,127,9.0,0.0815197344153449
2021-06-13,111,3.0,0.0774243004982752
2021-06-14,109,9.0,0.07931446791550419
2021-06-15,125,10.0,0.07753898019384745
2021-06-16,108,9.0,0.07823426573426573
2021-06-17,90,6.0,0.07840440165061899
2021-06-18,93,5.0,0.07822308063737325
2021-06-19,71,4.0,0.07844129554655871
2021-06-20,67,6.0,0.07923930269413629
2021-06-21,78,2.0,0.08039109179793591
2021-06-22,103,8.0,0.08210645526613816
2021-06-23,72,8.0,0.0812720848056537
2021-06-24,86,10.0,0.08353510895883777
2021-06-25,65,3.0,0.0856610800744879
2021-06-26,67,11.0,0.08622908622908623
2021-06-27,55,8.0,0.08556499020248204
2021-06-28,76,6.0,0.08550913838120104
2021-06-29,72,8.0,0.0881578947368421
2021-06-30,66,8.0,0.08947368421052632
2021-07-01,72,8.0,0.08989501312335958
2021-07-02,53,4.0,0.09287115761935906
2021-07-03,59,2.0,0.09315960912052117
2021-07-04,65,3.0,0.09242618741976893
2021-07-05,68,9.0,0.0901015228426396
2021-07-06,68,6.0,0.0878918254456054
2021-07-07,85,6.0,0.08625817965496728
2021-07-08,91,6.0,0.08208955223880597
2021-07-09,81,8.0,0.0797378481703987
2021-07-10,71,6.0,0.07768508863399375
2021-07-11,71,7.0,0.07347140039447732
2021-07-12,83,7.0,0.07385044124477473
2021-07-13,109,9.0,0.07739396589418453
2021-07-14,95,9.0,0.0803312629399586
2021-07-15,104,8.0,0.08118657298985169
2021-07-16,116,4.0,0.082039911308204
2021-07-17,121,13.0,0.08108108108108109
2021-07-18,116,6.0,0.08263633322181331
2021-07-19,165,9.0,0.08968177434908389
2021-07-20,159,11.0,0.0891661594643944
2021-07-21,176,8.0,0.09167391935015956
2021-07-22,197,18.0,0.09332594849072279
2021-07-23,187,22.0,0.09394736842105263
2021-07-24,187,19.0,0.09519038076152304
2021-07-25,212,17.0,0.09619526202440776
2021-07-26,212,23.0,0.0991507918292403
2021-07-27,211,15.0,0.10074626865671642
2021-07-28,225,22.0,0.10040245710654522
2021-07-29,213,38.0,0.10406403940886699
2021-07-30,256,22.0,0.10878164556962025
2021-07-31,232,29.0,0.11289705319556066
2021-08-01,235,28.0,0.11612783351913787
2021-08-02,272,27.0,0.11801016702977488
2021-08-03,301,32.0,0.12321774335504312
2021-08-04,282,31.0,0.12442000343701667
2021-08-05,282,38.0,0.12794042985276696
2021-08-06,315,31.0,0.12796985089300345
2021-08-07,286,28.0,0.12872715613978838
2021-08-08,267,39.0,0.13221979394317826
2021-08-09,349,52.0,0.13154280482221883
2021-08-10,329,51.0,0.13337347583922926
2021-08-11,332,43.0,0.13449343754608464
2021-08-12,323,43.0,0.13579163008486977
2021-08-13,360,72.0,0.1379360046122802
2021-08-14,325,43.0,0.13968072976054732
2021-08-15,302,49.0,0.14108701774148127
2021-08-16,406,48.0,0.1405255878284924
2021-08-17,346,37.0,0.1418974499588703
2021-08-18,393,66.0,0.1437483048548956
2021-08-19,360,53.0,0.1442993673441917
2021-08-20,346,46.0,0.14557731262660364
2021-08-21,370,55.0,0.14601293103448276
2021-08-22,288,44.0,0.14646600376242946
2021-08-23,376,56.0,0.146689802455953
2021-08-24,379,55.0,0.1442912595368759
2021-08-25,368,53.0,0.14430785676109031
2021-08-26,410,52.0,0.14295311030498456
2021-08-27,379,50.0,0.14399891628285016
2021-08-28,366,53.0,0.14454237288135593
2021-08-29,322,51.0,0.14377741228070176
