date,med,lo_68,hi_68,lo_95,hi_95
2020-09-01,57.99999999999999,30.819999999999997,80.36000000000006,14.85,91.38333333333335
2020-09-02,58.57142857142857,36.12,79.51999999999992,4.45,91.51666666666664
2020-09-03,58.875,30.560000000000002,79.96,8.55,91.44999999999996
2020-09-04,58.83333333333334,33.56,80.43999999999998,9.325000000000001,92.67499999999994
2020-09-05,58.41666666666667,33.92,76.3866666666667,18.725,88.2750000000001
2020-09-06,55.833333333333336,40.32000000000001,80.84000000000003,20.5875,91.91250000000005
2020-09-07,56.50000000000001,32.752,81.55999999999999,19.275,90.36249999999997
2020-09-08,57.83333333333334,33.84,81.86399999999999,7.325,90.6749999999999
2020-09-09,59.62500000000001,36.230000000000004,84.21600000000001,17.3375,92.32500000000006
2020-09-10,61.9,35.440000000000005,82.09333333333333,12.6125,92.35499999999999
2020-09-11,58.166666666666664,32.946666666666665,83.04,9.975,92.0125
2020-09-12,62.2,38.14666666666667,83.39,19.3,93.69999999999999
2020-09-13,54.75000000000001,28.560000000000002,76.83,0.3250000000000004,87.67499999999994
2020-09-14,60.0,35.29,80.91999999999993,9.65,91.34999999999982
2020-09-15,58.99999999999999,33.57333333333333,82.64000000000003,19.05,90.97500000000004
2020-09-16,59.2,33.70666666666667,81.47,4.8,91.05
2020-09-17,55.375,29.879999999999995,78.85333333333332,9.075,90.46249999999998
2020-09-18,62.74999999999999,34.08,82.45999999999995,9.950000000000001,92.01666666666664
2020-09-19,60.0,36.02666666666667,81.70285714285714,15.700000000000001,92.10000000000001
2020-09-20,60.25,38.94,80.52000000000001,19.2,92.45000000000002
2020-09-21,58.75,35.49,79.505,7.2,90.6
2020-09-22,56.44444444444444,34.96,77.34,10.4,88.65
2020-09-23,59.28571428571429,34.32,82.09000000000003,19.35,91.8250000000001
2020-09-24,61.99999999999998,34.99999999999999,81.59999999999997,21.625,91.24999999999993
2020-09-25,58.25000000000001,35.946666666666665,80.23200000000001,6.825000000000001,91.58750000000006
2020-09-26,60.833333333333336,33.63,82.99000000000001,4.4750000000000005,92.7625
2020-09-27,58.2,35.344,79.09333333333333,2.4000000000000004,91.4
2020-09-28,58.66666666666666,37.59428571428571,80.61333333333332,5.3,91.54999999999998
2020-09-29,63.07142857142857,40.74,81.76,20.0125,92.99375000000002
2020-09-30,63.07142857142858,35.096000000000004,82.10400000000001,17.6625,91.55833333333335
2020-10-01,62.37499999999999,35.8,83.91428571428571,5.375,93.20833333333334
2020-10-02,65.3125,40.84,84.37818181818183,22.724999999999998,93.63750000000009
2020-10-03,64.57142857142857,34.760000000000005,83.465,17.95,93.01666666666667
2020-10-04,60.37499999999999,37.72,82.95999999999998,18.15,90.56999999999998
2020-10-05,64.7,39.14666666666667,83.61777777777777,17.95,91.7875
2020-10-06,62.857142857142854,34.480000000000004,82.61777777777777,14.55,92.29999999999997
2020-10-07,65.5,40.8,82.6923076923077,20.71875,93.68749999999999
2020-10-08,61.70000000000001,36.472,83.15529411764705,14.025,92.4958333333333
2020-10-09,64.35714285714286,33.91428571428572,82.55,17.708333333333332,91.29166666666667
2020-10-10,62.31249999999999,38.419999999999995,83.66545454545454,17.662499999999998,91.9535714285714
2020-10-11,63.35,38.55428571428572,83.612,14.20625,93.29374999999997
2020-10-12,65.40625,41.25714285714285,84.15714285714284,17.625,94.01562499999996
2020-10-13,63.464285714285715,42.42333333333333,81.82888888888888,16.662499999999998,91.93499999999997
2020-10-14,62.85714285714285,39.78666666666667,82.68533333333332,14.7625,91.99374999999996
2020-10-15,66.89999999999999,42.25818181818181,83.32421052631577,15.862500000000002,92.42749999999998
2020-10-16,64.4,40.256,83.13555555555556,17.575000000000003,91.85624999999999
2020-10-17,65.80952380952381,42.17454545454546,83.78608695652174,11.950000000000001,92.13749999999999
2020-10-18,65.64285714285714,42.24333333333333,83.4164705882353,15.4625,91.82499999999999
2020-10-19,65.83333333333333,42.31111111111111,83.1391304347826,15.812500000000002,91.66964285714286
2020-10-20,66.79166666666666,44.165,83.18482758620688,19.82,91.93124999999999
2020-10-21,66.92592592592592,42.373333333333335,83.8193103448276,16.8375,91.80294117647061
2020-10-22,65.86538461538463,42.88,82.53882352941177,18.296428571428574,91.38500000000008
2020-10-23,67.16666666666667,45.0272,83.28666666666666,17.215,92.24374999999999
2020-10-24,67.88095238095238,44.99818181818181,83.26421052631578,20.262499999999996,92.13409090909089
2020-10-25,67.04054054054055,44.135555555555555,83.56000000000002,16.7375,92.50277777777782
2020-10-26,66.34615384615385,45.32705882352941,83.26620689655172,19.387499999999992,91.63269230769231
2020-10-27,68.35897435897436,47.07090909090909,84.03130434782608,22.23,91.70357142857141
2020-10-28,67.1375,47.80533333333333,82.76717948717948,23.054166666666664,91.91718749999997
2020-10-29,68.2340425531915,47.83111111111111,83.127,22.950000000000003,91.29999999999998
2020-10-30,68.62244897959184,47.783157894736846,83.13021276595745,20.8875,91.56442307692308
2020-10-31,68.8780487804878,48.11851851851851,84.19666666666667,21.53571428571429,91.72058823529413
2020-11-01,68.87804878048779,48.4576,83.68489795918364,22.674999999999994,91.70999999999988
2020-11-02,69.19148936170212,49.76833333333333,83.18349206349207,22.10625,91.75625000000001
2020-11-03,69.27272727272727,48.175172413793106,83.85551020408163,21.64,92.79999999999998
2020-11-04,70.5,50.02162162162162,83.9076923076923,24.515625,92.23214285714283
2020-11-05,69.71126760563381,50.232727272727274,83.69464788732394,22.321875,92.06195652173913
2020-11-06,70.10606060606061,50.08114285714286,83.04075471698113,24.675,91.64722222222221
2020-11-07,69.91803278688525,49.97333333333333,83.35692307692308,24.616666666666664,91.94687499999999
2020-11-08,70.64423076923077,50.257777777777775,84.01411764705882,24.929166666666667,91.7140625
2020-11-09,69.62765957446808,50.35,83.65937500000001,24.96590909090909,92.02083333333337
2020-11-10,70.63157894736842,50.72666666666667,84.77967213114754,26.087500000000002,92.20217391304348
2020-11-11,70.84313725490196,51.143157894736845,84.23868852459016,25.4625,92.009375
2020-11-12,70.69090909090909,51.235151515151514,84.09034482758622,24.900000000000002,91.83703703703706
2020-11-13,71.04464285714286,51.57043478260869,84.12123076923076,25.96250000000001,91.89097222222223
2020-11-14,71.45625,51.90428571428571,84.08666666666667,23.04375,91.99125
2020-11-15,71.45689655172414,52.244615384615386,84.31396226415094,26.315625,92.21309523809525
2020-11-16,72.07857142857142,52.61125,84.57841269841269,26.93409090909091,92.81413043478261
2020-11-17,72.25694444444444,52.95058823529412,84.65612903225806,28.23125,92.33645833333333
