date,confirmed,hospitalizations,hospitalizations_/_confirmed_7_days_moving_average
2020-11-04,2319,171,0.0720760531538369
2020-11-05,2188,155,0.07675420890360793
2020-11-06,2610,169,0.081442011601588
2020-11-07,1811,159,0.08201292872480326
2020-11-08,1443,134,0.08338359342017689
2020-11-09,1633,161,0.08329534189786479
2020-11-10,1953,167,0.08511557595420192
2020-11-11,1692,141,0.081925164550808
2020-11-12,1837,129,0.08019345381993832
2020-11-13,2026,157,0.0766635686264243
2020-11-14,1940,127,0.07359371347634587
2020-11-15,1189,96,0.06996620995305243
2020-11-16,2125,157,0.06934687573642681
2020-11-17,2343,150,0.0676934553546656
2020-11-18,2399,139,0.06653695585850251
2020-11-19,2140,141,0.06389246105542427
2020-11-20,2139,141,0.06436757537539563
2020-11-21,1900,109,0.06361940900189832
2020-11-22,1382,86,0.06548213626292805
2020-11-23,1619,125,0.07062260074918693
2020-11-24,1463,86,0.07442018622785583
2020-11-25,1592,113,0.07838275221729751
2020-11-26,1443,147,0.08472264870172054
2020-11-27,1427,132,0.08886863138284995
2020-11-28,1316,112,0.09275672824839042
2020-11-29,1135,121,0.09693575692490654
2020-11-30,1252,133,0.09599363108286076
2020-12-01,1500,129,0.09679451205192673
2020-12-02,1287,129,0.10043530024232716
2020-12-03,1249,119,0.10003610450041507
2020-12-04,1427,140,0.09616833891103467
2020-12-05,1284,142,0.09956723674910165
2020-12-06,472,49,0.09909589799883113
2020-12-07,1137,90,0.09889194935095383
2020-12-08,674,74,0.0995924028926389
2020-12-09,1011,98,0.09871218566911162
2020-12-10,1268,119,0.10209661344225848
2020-12-11,1262,130,0.10418989309522665
2020-12-12,1264,132,0.09967088673164573
2020-12-13,549,70,0.10285062819031895
2020-12-14,1066,100,0.10114637658268345
2020-12-15,1369,107,0.10347086482673849
2020-12-16,990,118,0.10119446418022471
2020-12-17,1355,111,0.09318360956515462
2020-12-18,1115,133,0.09364672353224855
2020-12-19,1130,100,0.09625281789812713
2020-12-20,924,66,0.09178427057243696
2020-12-21,1051,102,0.09399162374557271
2020-12-22,1473,142,0.10545482794654627
2020-12-23,1547,136,0.10879433807475805
2020-12-24,1407,137,0.11563159074232254
2020-12-25,421,84,0.11719140838622219
2020-12-26,876,98,0.11748953629557836
2020-12-27,788,94,0.11536771812679346
2020-12-28,1167,126,0.1124938506245046
2020-12-29,1919,189,0.10768016564037117
2020-12-30,1971,144,0.1046699273230184
2020-12-31,1864,144,0.10139939891431085
2021-01-01,597,99,0.09763914851045079
2021-01-02,1674,152,0.09198505790400789
2021-01-03,1193,115,0.09501739412616798
2021-01-04,1384,113,0.09868034723918527
2021-01-05,2037,120,0.0861567223796875
2021-01-06,1050,99,0.08327732822191818
2021-01-07,1244,128,0.08865066647455233
2021-01-08,1612,126,0.09403830981908211
2021-01-09,1458,103,0.10160816284376543
2021-01-10,888,119,0.10540722092853781
2021-01-11,1064,127,0.10967265625843138
2021-01-12,1269,142,0.11596107185691472
2021-01-13,1092,132,0.12205535789079701
2021-01-14,1032,137,0.12398341703143748
2021-01-15,843,103,0.12190881809169181
2021-01-16,1165,132,0.11619637242892754
2021-01-17,461,68,0.11331235755788685
2021-01-18,992,104,0.10921399915121029
2021-01-19,1182,85,0.10583598550325478
2021-01-20,1013,102,0.1023480094830899
2021-01-21,1009,105,0.09666311167129006
2021-01-22,1025,101,0.09798417410054282
2021-01-23,855,76,0.09779506292307691
2021-01-24,817,88,0.09835267915435489
2021-01-25,859,98,0.0998428348317342
2021-01-26,1275,90,0.09869721426222802
2021-01-27,1023,107,0.1006358039057357
2021-01-28,821,94,0.09898476216901465
2021-01-29,928,84,0.09538881973635624
2021-01-30,976,100,0.10093820930350385
2021-01-31,624,60,0.09908601342853758
2021-02-01,866,77,0.09595716681613432
2021-02-02,1060,116,0.09674041804766141
2021-02-03,884,81,0.09390044220864989
2021-02-04,1080,100,0.09471668878041428
2021-02-05,1000,96,0.09663164397509875
2021-02-06,884,73,0.09136924036797933
