date,0_39,40_59,60_79,80_89,90_+
2021-03-25,122.85714285714286,432.85714285714283,775.8571428571429,344.57142857142856,96.57142857142857
2021-03-26,122.42857142857143,429.14285714285717,769.0,345.85714285714283,96.85714285714286
2021-03-27,123.57142857142857,428.57142857142856,765.2857142857143,334.14285714285717,99.0
2021-03-28,120.71428571428571,427.0,764.1428571428571,331.14285714285717,96.28571428571429
2021-03-29,118.85714285714286,427.42857142857144,748.1428571428571,328.14285714285717,98.14285714285714
2021-03-30,117.71428571428571,423.57142857142856,739.8571428571429,328.42857142857144,99.57142857142857
2021-03-31,118.0,424.2857142857143,734.4285714285714,321.85714285714283,97.85714285714286
2021-04-01,117.14285714285714,414.7142857142857,735.7142857142857,319.0,95.28571428571429
2021-04-02,113.42857142857143,398.85714285714283,712.7142857142857,298.14285714285717,89.57142857142857
2021-04-03,112.71428571428571,396.57142857142856,705.2857142857143,291.7142857142857,84.42857142857143
2021-04-04,112.28571428571429,388.14285714285717,692.5714285714286,282.0,79.85714285714286
2021-04-05,110.42857142857143,372.42857142857144,679.4285714285714,269.85714285714283,72.71428571428571
2021-04-06,109.71428571428571,358.42857142857144,654.2857142857143,256.0,65.28571428571429
2021-04-07,107.57142857142857,343.85714285714283,638.1428571428571,245.14285714285714,59.714285714285715
2021-04-08,107.0,341.57142857142856,620.0,240.28571428571428,59.0
2021-04-09,110.14285714285714,333.57142857142856,610.2857142857143,235.57142857142858,57.42857142857143
2021-04-10,109.85714285714286,324.42857142857144,590.0,224.57142857142858,56.142857142857146
2021-04-11,105.57142857142857,311.42857142857144,569.4285714285714,218.0,55.142857142857146
2021-04-12,106.57142857142857,307.14285714285717,547.4285714285714,207.28571428571428,56.0
2021-04-13,105.85714285714286,293.85714285714283,526.1428571428571,196.14285714285714,52.57142857142857
2021-04-14,103.57142857142857,287.0,504.14285714285717,192.0,50.857142857142854
2021-04-15,101.57142857142857,286.7142857142857,497.0,186.42857142857142,50.57142857142857
2021-04-16,100.0,280.42857142857144,491.0,182.71428571428572,50.42857142857143
2021-04-17,99.42857142857143,268.14285714285717,486.14285714285717,173.71428571428572,48.857142857142854
2021-04-18,101.28571428571429,269.57142857142856,480.85714285714283,167.57142857142858,48.0
2021-04-19,101.0,261.57142857142856,475.14285714285717,164.0,45.857142857142854
2021-04-20,98.14285714285714,267.0,474.14285714285717,162.42857142857142,45.42857142857143
2021-04-21,99.0,267.42857142857144,468.14285714285717,157.71428571428572,45.57142857142857
2021-04-22,98.71428571428571,257.7142857142857,461.0,151.42857142857142,44.285714285714285
2021-04-23,96.14285714285714,261.0,455.2857142857143,142.42857142857142,43.285714285714285
2021-04-24,90.42857142857143,263.2857142857143,441.2857142857143,136.42857142857142,40.57142857142857
2021-04-25,89.57142857142857,262.57142857142856,432.85714285714283,131.28571428571428,38.42857142857143
2021-04-26,86.42857142857143,262.57142857142856,425.85714285714283,122.0,37.857142857142854
2021-04-27,85.71428571428571,256.57142857142856,417.57142857142856,115.14285714285714,37.857142857142854
2021-04-28,85.42857142857143,247.42857142857142,407.14285714285717,108.71428571428571,35.857142857142854
2021-04-29,86.0,242.0,398.0,102.57142857142857,32.0
2021-04-30,85.85714285714286,238.0,386.7142857142857,100.28571428571429,29.285714285714285
2021-05-01,86.85714285714286,230.85714285714286,379.42857142857144,100.14285714285714,29.142857142857142
2021-05-02,86.85714285714286,223.42857142857142,361.7142857142857,93.57142857142857,29.285714285714285
2021-05-03,84.14285714285714,217.85714285714286,349.2857142857143,92.0,27.285714285714285
2021-05-04,83.42857142857143,211.14285714285714,333.42857142857144,86.28571428571429,25.857142857142858
2021-05-05,82.28571428571429,207.42857142857142,324.42857142857144,81.28571428571429,26.142857142857142
2021-05-06,79.28571428571429,200.0,309.85714285714283,76.57142857142857,25.857142857142858
2021-05-07,77.42857142857143,192.71428571428572,295.14285714285717,72.0,26.285714285714285
2021-05-08,74.0,184.85714285714286,270.7142857142857,65.57142857142857,26.428571428571427
2021-05-09,70.42857142857143,179.71428571428572,256.42857142857144,62.42857142857143,24.428571428571427
2021-05-10,71.28571428571429,175.28571428571428,242.42857142857142,60.42857142857143,24.571428571428573
2021-05-11,71.14285714285714,167.42857142857142,228.71428571428572,56.42857142857143,24.571428571428573
2021-05-12,69.0,160.57142857142858,215.0,54.285714285714285,21.571428571428573
2021-05-13,65.71428571428571,161.71428571428572,204.71428571428572,53.57142857142857,21.142857142857142
2021-05-14,64.85714285714286,157.85714285714286,188.14285714285714,49.285714285714285,20.0
2021-05-15,62.57142857142857,152.42857142857142,178.42857142857142,46.714285714285715,17.857142857142858
2021-05-16,60.42857142857143,144.0,167.85714285714286,44.285714285714285,16.714285714285715
2021-05-17,57.285714285714285,139.0,156.85714285714286,41.285714285714285,14.142857142857142
2021-05-18,52.285714285714285,137.28571428571428,145.42857142857142,38.57142857142857,12.0
2021-05-19,49.142857142857146,132.0,135.57142857142858,36.285714285714285,11.857142857142858
2021-05-20,49.142857142857146,123.85714285714286,132.57142857142858,34.857142857142854,11.285714285714286
2021-05-21,46.285714285714285,115.57142857142857,123.0,32.857142857142854,10.142857142857142
2021-05-22,44.714285714285715,110.14285714285714,114.14285714285714,30.285714285714285,10.0
2021-05-23,45.0,108.71428571428571,106.57142857142857,27.428571428571427,9.285714285714286
2021-05-24,44.714285714285715,100.28571428571429,97.85714285714286,24.571428571428573,8.714285714285714
2021-05-25,44.857142857142854,93.71428571428571,95.71428571428571,24.571428571428573,8.285714285714286
2021-05-26,44.57142857142857,91.71428571428571,90.57142857142857,24.0,8.285714285714286
2021-05-27,42.0,89.85714285714286,84.57142857142857,22.571428571428573,8.0
2021-05-28,39.857142857142854,86.57142857142857,78.85714285714286,22.714285714285715,7.0
2021-05-29,41.0,85.85714285714286,74.85714285714286,21.857142857142858,7.0
2021-05-30,38.857142857142854,77.71428571428571,68.71428571428571,21.285714285714285,7.571428571428571
2021-05-31,38.142857142857146,74.85714285714286,67.14285714285714,21.0,7.571428571428571
2021-06-01,37.57142857142857,73.42857142857143,60.42857142857143,19.142857142857142,8.142857142857142
2021-06-02,35.57142857142857,70.85714285714286,58.714285714285715,17.142857142857142,7.428571428571429
2021-06-03,36.714285714285715,68.71428571428571,56.57142857142857,18.0,7.0
2021-06-04,35.285714285714285,67.28571428571429,55.57142857142857,17.0,7.0
2021-06-05,35.714285714285715,63.714285714285715,52.42857142857143,16.0,6.428571428571429
2021-06-06,33.857142857142854,63.857142857142854,52.142857142857146,15.142857142857142,5.857142857142857
2021-06-07,32.142857142857146,60.42857142857143,48.0,15.142857142857142,6.285714285714286
2021-06-08,31.142857142857142,56.0,44.285714285714285,14.142857142857142,6.142857142857143
2021-06-09,32.285714285714285,53.857142857142854,41.42857142857143,14.142857142857142,6.285714285714286
2021-06-10,31.714285714285715,51.714285714285715,37.714285714285715,13.0,6.285714285714286
2021-06-11,30.428571428571427,46.42857142857143,34.857142857142854,11.571428571428571,6.285714285714286
2021-06-12,26.857142857142858,43.285714285714285,35.857142857142854,11.714285714285714,5.428571428571429
2021-06-13,26.428571428571427,40.857142857142854,32.857142857142854,11.285714285714286,5.571428571428571
